League	Score	UserID	AgentID	Lang	Pseudo	#challenge,count=4303,time=2020-11-14 00:47:06
2	46.37	2489304	3198899	TypeScript	Yawp	
2	46.36	2605855	3197629	C	logiqub	
2	46.33	3766290	3197898	Javascript	xineohp	
2	46.32	1264581	3194907	C#	BenjiIsBack	
2	46.31	1049979	3196243	Python3	timqsh	
2	46.31	3683265	3191261	C++	Bondo416	
2	46.28	342048	3193597	TypeScript	fixme	
2	46.26	1186250	3187615	Python3	Gabbek	
2	46.25	3706223	3195485	TypeScript	Yab94	
2	46.22	1607034	3196263	Rust	tomatoes	
2	46.22	614215	3199061	Java	Jo	
2	46.21	1836058	3197989	C++	SeebOmega	
2	46.2	3770912	3197318	C#	fgwiebfaoish	
2	46.2	1282856	3189168	Javascript	ErikBrendel	
2	46.18	2416641	3198615	C#	Zenoscave	
2	46.15	3737917	3198290	Python3	jonathanoheix	
2	46.08	1675487	3189117	C	PED	
2	46.07	3996096	3192363	Haskell	Sakisan	
2	46.06	930444	3196356	C#	Holy_troll	
2	46.05	1606588	3181157	Python3	inoryy	
2	46	3736976	3198613	C#	olka2g	
2	45.99	3806163	3191886	C++	almoz_vald	
2	45.98	1329079	3194248	Rust	Aengus	
2	45.98	1802967	3198885	Python3	Meruem	
2	45.95	4057004	3193067	C++	loK10	
2	45.93	3903473	3189536	Python3	Konstant	
2	45.89	792813	3197191	Python3	VilBoub	
2	45.87	3811002	3194245	C++	NTargon	
2	45.85	3859008	3198983	Kotlin	Q64	
2	45.84	1206537	3182740	C#	MadKnight	
2	45.81	3435179	3198975	Python3	Valphyr	
2	45.8	3623423	3196913	C++	drew-m	
2	45.73	3732957	3195343	C#	Misinn	
2	45.73	2592027	3198140	C#	ParticleBeam	
2	45.69	3449368	3188023	C#	widemouthfrog1	
2	45.69	1831684	3198159	Java	dbf	
2	45.66	3938395	3199006	Python3	Quentin18	
2	45.65	2997376	3196830	C++	TWW	
2	45.64	155881	3195099	PHP	XLP	
2	45.64	3842278	3192679	Python3	hem123	
2	45.6	3643906	3193528	Python3	Silver912	
2	45.6	1382590	3197889	C#	Cristiano	
2	45.59	236859	3197670	Kotlin	ybonnel	
2	45.59	3885965	3199117	Python3	qahmad	
2	45.49	4049800	3197483	C#	OlivierRivoyre	
2	45.47	2906497	3198657	C++	daaskare	
2	45.45	2254195	3198923	Javascript	BrunoFelthes	
2	45.43	2436448	3195929	Java	FrancoisMeme	
2	45.42	3622757	3196097	Python3	anid	
2	45.42	928567	3197400	C++	Konstanta	
2	45.42	2907009	3192740	C#	Arnaud.Net	
2	45.42	154984	3198818	C++	_Royale	
2	45.4	3348388	3199043	C++	bowwowforeach	
2	45.33	1679204	3198788	Python3	Jaidy	
2	45.33	3818607	3188555	C++	reg7777	
2	45.27	416676	3196415	C++	alex700	
2	45.26	1072200	3197651	C++	alze	
2	45.21	153692	3196053	Java	Bleizig	
2	45.21	3821754	3192907	C++	bbge	
2	45.2	1082988	3179483	Python3	Saelyos	
2	45.19	668954	3185274	C++	Fluxor	
2	45.18	3944012	3195869	C++	nightyhawk	
2	45.17	610934	3179558	C++	y_kawano	
2	45.17	536072	3185531	Java	IKarl	
2	45.13	4039328	3192395	C++	KleinesAtom93	
2	45.12	1883154	3197441	Javascript	SpectralFlame	
2	45.11	3937932	3188930	TypeScript	OnTheBrink	
2	45.07	3493230	3195437	Rust	sgalasso	
2	45.04	3763757	3192170	Python3	jnovotny	
2	45.03	3997627	3182268	C#	DrJorgen	
2	45.03	3982219	3192487	C#	Resnox	
2	45.02	4054309	3199129	Java	filipm	
2	45.01	4055389	3193107	Python3	googol_S0	
2	45	3269275	3185773	C#	Ille-Stream	
2	44.98	841085	3191346	C#	Risen	
2	44.98	3331888	3196904	TypeScript	LuizChagas	
2	44.94	981878	3197950	Java	nicolasD	
2	44.93	1109907	3197365	Javascript	polpoul	
2	44.9	3774045	3198050	Python3	MasterDuck	
2	44.84	1414873	3195695	Javascript	Volcomix	
2	44.75	3542297	3188124	Python3	barbellious	
2	44.74	3406305	3199065	C#	ik8	
2	44.69	2401975	3192669	C#	KeepCaIm	
2	44.63	596425	3198437	C#	Gammel	
2	44.63	1361453	3195261	PHP	Xav726	
2	44.59	2188951	3197307	C#	Vivasse	
2	44.58	2021126	3198835	C	FPSCUBE	
2	44.55	2156363	3199152	Python3	Tintoune	
2	44.54	1231237	3197927	Python3	crazyiop	
2	44.52	1968855	3199041	Java	ThePurificator	
2	44.48	2025868	3193154	C++	sumoru	
2	44.47	617638	3196447	Python3	jcampion	
2	44.46	226528	3198419	Java	Manwe	
2	44.41	1798477	3194366	C#	mnivet	
2	44.39	1378958	3198942	C#	Illedan	
2	44.31	3397479	3197069	C#	XorZy	
2	44.28	2792530	3198064	C#	Xanrum	
2	44.27	196808	3195466	Python3	bonam	
2	44.27	3482949	3198226	Java	Masshood	
2	44.26	3750962	3184761	C++	Jeroenodb	
2	44.25	2889948	3199058	C++	anoburn	
2	44.24	3796113	3196773	Java	_Lupus_	
2	44.24	1467771	3199025	C++	Telokis	
2	44.22	1969553	3190809	TypeScript	opheliehb	
2	44.22	301922	3197969	Scala	tyrcho	
2	44.22	359096	3198746	Java	Skyloro	
2	44.15	2074414	3198358	Python3	Lecerf	
2	44.14	165671	3197489	Python3	[CG]cyppan	
2	44.14	3986053	3197732	C++	Backtomars	
2	44.13	1958192	3192373	TypeScript	bosure	
2	44.13	1913525	3189633	C++	Drus_O	
2	44.13	1329263	3184542	C++	Mihai_	
