League	Score	UserID	AgentID	Lang	Pseudo	#time=2019-09-07 11:49:13,count=85359
6	27.13	1341520	1782283	C	egaetan	
6	27.12	2021126	1425215	Ruby	FPSCUBE	
6	27.1	1631651	772550	Scala	m1k4d0	
6	27.09	2473739	1845088	C++	ashibaev	
6	27.09	3427526	2471888	Python3	remi2257	
6	27.08	1265250	2113372	C++	Velox1s	
6	27.07	1457162	1775439	Python3	JFB	
6	27.07	1353260	481632	Java	kluf	
6	27.04	2350846	2332874	C++	DrBloodmoney	
6	27.03	154305	505682	Python3	marsu	
6	27.02	1814485	1399994	C#	Fluttershy	
6	27.01	1492668	676076	Java	MatthieuC	
6	26.98	2376044	2105827	C++	NecroSchmurf_IV	
6	26.94	1921687	2332898	Python3	Black-Born	
6	26.84	2583377	1854866	Python3	Zaras00tra	
6	26.84	1378399	507616	Python3	DN38416	
6	26.83	1518220	1970835	VB.NET	HomerDilpleu	
6	26.78	2806374	2433939	Python3	BigArt	
6	26.78	1895212	1778565	C++	Maxlaxs	
6	26.77	1306555	1316922	Python3	Nalafabi	
6	26.74	2439765	2319965	Python	AndrewMarchuk	
6	26.71	1853956	1501551	PHP	Nkoyan	
6	26.68	1464932	1387762	Java	Tiramon	
6	26.67	2244722	1624974	Javascript	Watabou	
6	26.54	155774	2105790	C++	dwarfie	
6	26.51	2718963	2333078	PHP	Fregat	
6	26.5	1449264	807119	Python3	Gadzy.fr	
6	26.44	1610474	751817	Javascript	Plink	
6	26.4	1754551	938322	Java	QiouBi	
6	26.39	706692	472460	Java	alexhap	
6	26.39	2228566	1480702	Python3	TomyRave	
6	26.29	1522998	714975	Java	Momotebo	
6	26.27	1464853	807537	Java	WillNess	
6	26.26	1781641	933597	Python3	DavBfr	
6	26.21	2125622	1987114	Java	Quetch	
6	26.19	1712706	1119126	C#	O.M.	
6	26.18	1060181	1782250	Ruby	Dabou	
6	26.18	1709045	947066	Python3	electroheart	
6	26.17	1075334	2077847	Javascript	deathpat	
6	26.17	2282882	1589194	Python3	SajidP	
6	26.15	1535165	807481	Java	WillN012	
6	26.15	1733593	1962098	C++	Wei-1	
6	26.15	1485690	1775847	C	Kikoo	
6	26.14	2042572	2438026	Python3	i_am_noob_abc	
6	26.14	2077929	1404934	Python3	Sam777	
6	26.13	1718304	900982	PHP	Energiemann	
6	26.13	1487392	1775289	Java	Razielwar	
6	26.11	1737554	1015548	C++	boa.st	
6	26.11	1425322	2459679	Rust	pixel8r	
6	26.1	1525821	1944230	C#	Jeroo	
6	26.1	3134522	2234641	C++	Certicom	
6	26.1	1564075	785321	Python3	JHBR	
6	26.09	1605509	1217102	Python3	JejePCSI1	
6	26.08	2560488	1775492	Java	HeinrichM	
