League	Score	UserID	AgentID	Lang	Pseudo	#time=2019-09-07 11:28:33,count=521
1	14.31	2993378	2337323	C#	PCJones	
1	14.31	2836370	2347180	C++	kevinas_da_programer	
1	14.31	2836250	2359225	C++	Raminra	
1	14.3	2836255	2353295	C++	shrekas	
1	14.28	2927602	2353615	C++	RibsOfDoom	
1	14.26	1378958	2359073	C#	Illedan	
1	14.26	1269442	2404249	Java	TheManOfMadness	
1	14.25	2333354	2479768	C++	Allybag	
1	14.25	3014811	2312640	C++	TwosWild	
1	14.24	3396764	2433241	C++	PiotrK	
1	14.22	2592322	2347161	C++	AUR	
1	14.22	2830110	2421644	C++	Kroeltje	
1	14.21	2596450	2346906	C++	kalakutas	
1	14.18	3335411	2420106	Java	spoop_time	
1	14.16	2976594	2405751	Java	TFWell	
1	14.15	1466247	2335951	Java	so52	
1	14.12	3201497	2478703	C++	Dilshod_Imomov	
1	14.11	3197639	2317673	Python3	Schnupp	
1	14.05	2058271	2347718	Javascript	Abbo	
1	13.98	2493141	2445413	Python3	ZASebastian	
1	13.93	2633481	2481133	Python3	JohnLennon	
1	13.93	3352608	2454766	PHP	Revlis	
1	13.81	1361840	2455155	Kotlin	KamilRajtar	
1	13.45	925769	2319568	C#	troll	
1	13.33	2176688	2460086	C#	Jupotter	
1	13.27	1480242	2337320	Python3	daniel83fr	
1	13.12	1678015	2317231	Kotlin	Mikasez	
1	12.88	1442750	2472416	Javascript	GwadaKing	
1	12.82	1450215	2418614	C++	Crazychoze	
1	12.53	3221991	2335947	Python	JosiahWI	
1	12.52	2563984	2364999	C#	MatesCZ1234	
1	12.47	914013	2322349	Python3	HexTree	
1	12.46	2633560	2416094	PHP	Sunitrams	
1	12.42	1988531	2331251	Ruby	MarcL	
1	12.29	1069511	2313818	Python3	Blauelf	
1	10.88	413543	2482284	Rust	Heron30	
1	10.62	1428084	2421413	Python3	Mixolyde	
1	9.77	1183644	2410875	C++	Donotalo	
1	6.85	1759142	2430714	C++	Raschert0	
1	5.85	1849798	2313318	Java	TenOldMen	
1	5.67	1987512	2346712	C#	FreexXx	
1	5.51	2560037	2435023	C#	_Mockel_	
1	4.99	2897230	2322159	C#	kalevala	
1	4.95	3403269	2441355	Java	Sybb	
1	4.93	2816428	2436821	Java	NouveauJoueur	
1	4.92	780361	2318789	C++	BrutalCommiterInSpace	
1	4.92	2711438	2347162	Python3	Aeneas	
1	4.91	2626104	2317017	Python3	LogicalKip	
1	4.9	2849836	2322335	C++	Titas_Savelskis	
1	4.88	1456728	2354957	C#	MotorbikeSteve	
1	4.87	3030671	2459113	Python3	eablonet	
1	4.84	3335418	2421152	Java	shifting_into_soup_mode	
1	4.83	2007690	2462523	Java	SpeedOfMagic	
1	4.8	795321	2460687	Java	berthy424	
0	15.65	3369531	2422378	Java	Potakko	
0	10.43	2202771	2324202	Java	Kaplone	
0	9.6	3167968	2312570	VB.NET	Master_Zain	
0	9.03	3054784	2314613	Python3	pp_Hectum	
0	9.02	2871397	2414187	C++	Tomas123	
0	9.02	1073604	2358254	C#	speedFast	
0	9.01	3428261	2460062	C++	GeorgeOrwell	
0	9.01	3054793	2314628	Python3	maw.jpeg	
0	9.01	3285014	2318122	Python3	THE_PRO_BITCH	
0	9.01	2882055	2312049	Java	Ritesh_Toppo	
0	9.01	1448862	2327003	Kotlin	hexkid	
0	9.01	2713608	2464186	Ruby	LostSymphony	
0	9.01	2863657	2414191	C++	Matyfaf	
0	9	1830993	2411914	C#	jpcheck	
0	9	2165310	2324970	C++	GustasKazlauskas	
0	8.98	3332393	2459987	Java	cahii	
0	8.96	2165312	2318108	C++	wwExas	
0	8.96	3312988	2328287	C++	wannabe_programmer	
0	8.95	1328462	2349089	Python3	ElianePCSI1	
0	8.95	3417052	2446395	Python3	theiei	
0	8.94	2852592	2326252	Python3	OHER	
0	8.94	3211769	2356092	C++	MohammadHosseinSaberi	
0	8.93	2167124	2318107	Python	MartynasStankevicius	
0	8.92	3298134	2317134	C++	a.l.coding	
0	8.92	2021126	2374329	C	FPSCUBE	
0	8.91	2006348	2345998	Python3	Koji02	
0	8.88	2826402	2357803	Java	1Alex	
0	8.88	2776922	2329508	Kotlin	Haldwin	
0	8.87	911777	2431050	OCaml	MasakiKyosuke	
0	8.85	155929	2311777	Python3	[CG]jupoulton	
0	8.85	2410235	2312712	C#	Joe_Black	
0	8.82	2836373	2329527	C++	Burausee	
0	8.81	3031458	2323819	C#	_-_Equus_-_Don	
0	8.8	2076740	2413383	Python3	It_potato	
0	8.75	2241559	2345578	Python3	eskeln	
0	8.73	2698880	2315401	Java	smcbot	
0	8.65	3289692	2312177	C++	231Dan	
0	8.64	2442773	2354564	Java	Hydral	
0	8.43	1491995	2418276	C#	Tyir	
0	8.39	1990452	2444312	C#	Benoit_L	
0	8.28	314562	2446324	Javascript	Mechar	
0	3.51	3446140	2481381	Java	Upcy	
0	1.79	2863662	2418617	C++	mirek163	
0	1.71	3285012	2318125	Python3	codeurdu24.exe	
0	1.6	2927605	2347174	C++	posla	
